Date,Close
2010-05-26,32
2010-05-27,10
2010-06-02,19
2010-06-08,23
2010-06-14,15
2010-06-15,18
2010-06-16,22
2010-06-17,14
2010-06-21,10
2010-06-22,9
2010-06-23,22
2010-06-28,10
2010-06-29,22
2010-06-30,16
2010-07-01,19
2010-07-05,8
2010-07-06,18
2010-07-07,23
2010-07-08,12
2010-07-12,22
2010-07-13,17
2010-07-14,19
2010-07-15,18
2010-07-19,16
2010-07-20,27
2010-07-21,15
2010-07-22,18
2010-07-26,35
2010-09-06,21
2010-09-07,13
2010-09-08,9
2010-09-09,11
2010-09-13,9
2010-09-14,15
2010-09-15,16
2010-09-16,20
2010-10-11,24
2010-10-12,18
2010-10-18,17
2010-10-19,10
2010-10-20,7
2010-10-21,3
2010-10-22,3
2010-10-25,17
2010-10-27,8
2010-10-28,10
2010-11-01,14
2010-11-02,11
2010-11-03,9
2010-11-04,8
2010-11-08,6
2010-11-09,9
2010-11-10,6
2010-11-11,7
2010-11-12,11
2010-11-15,5
2010-11-16,13
2010-11-17,26
2010-11-18,9
2010-11-19,2
2010-11-22,15
2010-11-23,9
2010-11-24,8
2010-11-25,4
2010-11-29,7
2010-11-30,10
2010-12-01,6
2010-12-02,12
2010-12-03,2
2010-12-06,15
2010-12-07,7
2010-12-08,9
2010-12-09,9
2010-12-10,1
2010-12-13,19
2010-12-14,10
2010-12-15,9
2010-12-16,6
2010-12-20,13
2010-12-21,3
2011-01-10,9
2011-01-11,17
2011-01-12,10
2011-01-13,9
2011-01-17,13
2011-01-18,10
2011-01-19,14
2011-01-20,3
2011-01-21,5
2011-01-24,12
2011-01-25,8
2011-01-26,12
2011-01-27,10
2011-01-31,11
2011-02-01,11
2011-02-02,10
2011-02-03,3
2011-02-04,3
2011-02-07,6
2011-02-08,12
2011-02-09,18
2011-02-10,8
2011-02-11,2
2011-02-14,2
2011-02-15,6
2011-02-16,8
2011-02-17,10
2011-02-18,1
2011-02-28,15
2011-03-01,24
2011-03-02,8
2011-03-03,9
2011-03-04,2
2011-03-07,11
2011-03-08,6
2011-03-09,16
2011-03-10,14
2011-03-14,11
2011-03-15,16
2011-03-16,10
2011-03-17,9
2011-03-21,7
2011-03-22,7
2011-03-23,8
2011-03-24,4
2011-03-28,9
2011-03-30,11
2011-03-31,18
2011-04-01,3
2011-04-04,15
2011-04-26,23
2011-04-27,12
2011-04-28,6
2011-05-09,7
2011-05-10,4
2011-05-11,8
2011-05-12,8
2011-05-13,2
2011-05-16,5
2011-05-17,11
2011-05-18,9
2011-05-19,4
2011-06-07,18
2011-06-08,7
2011-06-09,14
2011-06-10,1
2011-06-13,9
2011-06-14,9
2011-06-15,16
2011-06-16,5
2011-06-20,13
2011-06-21,11
2011-06-22,18
2011-06-23,13
2011-06-27,5
2011-06-28,7
2011-06-29,4
2011-06-30,7
2011-07-04,12
2011-07-05,8
2011-07-06,6
2011-07-07,6
2011-07-11,10
2011-07-12,15
2011-07-13,12
2011-07-14,7
2011-07-18,10
2011-07-19,9
2011-07-20,5
2011-08-11,8
2011-09-05,12
2011-09-06,6
2011-09-07,11
2011-09-08,5
2011-09-12,5
2011-09-13,7
2011-09-14,14
2011-09-15,12
2011-10-10,20
2011-10-11,13
2011-10-12,9
2011-10-13,10
2011-10-17,10
2011-10-18,18
2011-10-19,10
2011-10-20,9
2011-10-21,1
2011-10-25,7
2011-10-27,5
2011-10-31,20
2011-11-01,17
2011-11-02,10
2011-11-03,11
2011-11-07,12
2011-11-08,10
2011-11-09,17
